url,name
/assets/smiley/emoji_1f601.csv,grinning face with smiling eyes
/assets/smiley/emoji_1f602.csv,face with tears of joy
/assets/smiley/emoji_1f603.csv,smiling face with open mouth
/assets/smiley/emoji_1f604.csv,smiling face with open mouth and smiling eyes
/assets/smiley/emoji_1f605.csv,smiling face with open mouth and cold sweat
/assets/smiley/emoji_1f606.csv,smiling face with open mouth and tightly-closed eyes
/assets/smiley/emoji_1f609.csv,winking face
/assets/smiley/emoji_1f60a.csv,smiling face with smiling eyes
/assets/smiley/emoji_1f60b.csv,face savouring delicious food
/assets/smiley/emoji_1f60c.csv,relieved face
/assets/smiley/emoji_1f60d.csv,smiling face with heart-shaped eyes
/assets/smiley/emoji_1f60f.csv,smirking face
/assets/smiley/emoji_1f612.csv,unamused face
/assets/smiley/emoji_1f613.csv,face with cold sweat
/assets/smiley/emoji_1f614.csv,pensive face
/assets/smiley/emoji_1f616.csv,confounded face
/assets/smiley/emoji_1f618.csv,face throwing a kiss
/assets/smiley/emoji_1f61a.csv,kissing face with closed eyes
/assets/smiley/emoji_1f61c.csv,face with stuck-out tongue and winking eye
/assets/smiley/emoji_1f61d.csv,face with stuck-out tongue and tightly-closed eyes
/assets/smiley/emoji_1f61e.csv,disappointed face
/assets/smiley/emoji_1f620.csv,angry face
/assets/smiley/emoji_1f621.csv,pouting face
/assets/smiley/emoji_1f622.csv,crying face
/assets/smiley/emoji_1f623.csv,persevering face
/assets/smiley/emoji_1f624.csv,face with look of triumph
/assets/smiley/emoji_1f625.csv,disappointed but relieved face
/assets/smiley/emoji_1f628.csv,fearful face
/assets/smiley/emoji_1f629.csv,weary face
/assets/smiley/emoji_1f62a.csv,sleepy face
/assets/smiley/emoji_1f62b.csv,tired face
/assets/smiley/emoji_1f62d.csv,loudly crying face
/assets/smiley/emoji_1f630.csv,face with open mouth and cold sweat
/assets/smiley/emoji_1f631.csv,face screaming in fear
/assets/smiley/emoji_1f632.csv,astonished face
/assets/smiley/emoji_1f633.csv,flushed face
/assets/smiley/emoji_1f635.csv,dizzy face
/assets/smiley/emoji_1f637.csv,face with medical mask
/assets/smiley/emoji_1f638.csv,grinning cat face with smiling eyes
/assets/smiley/emoji_1f639.csv,cat face with tears of joy
/assets/smiley/emoji_1f63a.csv,smiling cat face with open mouth
/assets/smiley/emoji_1f63b.csv,smiling cat face with heart-shaped eyes
/assets/smiley/emoji_1f63c.csv,cat face with wry smile
/assets/smiley/emoji_1f63d.csv,kissing cat face with closed eyes
/assets/smiley/emoji_1f63e.csv,pouting cat face
/assets/smiley/emoji_1f63f.csv,crying cat face
/assets/smiley/emoji_1f640.csv,weary cat face
/assets/smiley/emoji_1f645.csv,face with no good gesture
/assets/smiley/emoji_1f646.csv,face with ok gesture
/assets/smiley/emoji_1f647.csv,person bowing deeply
/assets/smiley/emoji_1f648.csv,see-no-evil monkey
/assets/smiley/emoji_1f649.csv,hear-no-evil monkey
/assets/smiley/emoji_1f64a.csv,speak-no-evil monkey
/assets/smiley/emoji_1f64b.csv,happy person raising one hand
/assets/smiley/emoji_1f64c.csv,person raising both hands in celebration
/assets/smiley/emoji_1f64d.csv,person frowning
/assets/smiley/emoji_1f64e.csv,person with pouting face
/assets/smiley/emoji_1f64f.csv,person with folded hands